Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
Nemanja Bjelica,8,C,10-Jun,234,9-May-88,rs RS,6,,Warriors
Chris Chiozza,2,PG,11-May,179,21-Nov-95,us US,3,Florida,Warriors
Stephen Curry,30,PG,2-Jun,185,14-Mar-88,us US,12,Davidson,Warriors
Jeff Dowtin Jr.,21,PG,3-Jun,177,10-May-97,us US,R,Rhode Island,Warriors
Draymond Green,23,PF,6-Jun,230,4-Mar-90,us US,9,Michigan State,Warriors
Andre Iguodala,9,SF,6-Jun,215,28-Jan-84,us US,17,Arizona,Warriors
Jonathan Kuminga,0,SF,7-Jun,225,6-Oct-02,cd CD,R,,Warriors
Damion Lee,1,SG,6-Jun,210,21-Oct-92,us US,4,"Drexel, Louisville",Warriors
Kevon Looney,5,C,9-Jun,222,6-Feb-96,us US,6,UCLA,Warriors
Moses Moody,4,SG,5-Jun,211,31-May-02,us US,R,Arkansas,Warriors
Gary Payton II,0,SG,2-Jun,195,1-Dec-92,us US,5,Oregon State,Warriors
Jordan Poole,3,SG,4-Jun,194,19-Jun-99,us US,2,Michigan,Warriors
Otto Porter Jr.,32,PF,8-Jun,198,3-Jun-93,us US,8,Georgetown,Warriors
Klay Thompson,11,SG,5-Jun,220,8-Feb-90,us US,8,Washington State,Warriors
Juan Toscano-Anderson,95,SF,6-Jun,209,10-Apr-93,us US,2,Marquette,Warriors
Quinndary Weatherspoon,12,SG,3-Jun,207,10-Sep-96,us US,2,Mississippi State,Warriors
Andrew Wiggins,22,SF,6-Jun,197,23-Feb-95,ca CA,7,Kansas,Warriors
Jaylen Brown,7,SF,6-Jun,223,24-Oct-96,us US,5,California,Celtics
Bruno Fernando,28,C,9-Jun,240,15-Aug-98,ao AO,2,Maryland,Celtics
Malik Fitts,8,PF,5-Jun,230,4-Jul-97,us US,1,"South Florida, Saint Mary's",Celtics
Enes Freedom,13,C,10-Jun,250,20-May-92,ch CH,10,Kentucky,Celtics
Sam Hauser,30,SF,7-Jun,217,8-Dec-97,us US,R,"Marquette, Virginia",Celtics
Juancho Hernangomez,41,PF,9-Jun,214,28-Sep-95,es ES,5,,Celtics
Al Horford,42,C,8-Jun,240,3-Jun-86,do DO,14,Florida,Celtics
Justin Jackson,43,SF,8-Jun,220,28-Mar-95,us US,4,UNC,Celtics
Joe Johnson,55,SG,7-Jun,240,29-Jun-81,us US,17,Arkansas,Celtics
Luke Kornet,40,C,1-Jul,250,15-Jul-95,us US,4,Vanderbilt,Celtics
Romeo Langford,9,SG,5-Jun,216,25-Oct-99,us US,2,Indiana,Celtics
Kelan Martin,4,SF,5-Jun,230,3-Aug-95,us US,2,Butler,Celtics
C.J. Miles,50,SG,6-Jun,220,18-Mar-87,us US,15,,Celtics
Juwan Morgan,4,PF,7-Jun,232,17-Apr-97,us US,2,Indiana,Celtics
Aaron Nesmith,26,SF,5-Jun,215,16-Oct-99,us US,1,Vanderbilt,Celtics
Jabari Parker,20,PF,7-Jun,245,15-Mar-95,us US,7,Duke,Celtics
Payton Pritchard,11,PG,1-Jun,195,28-Jan-98,us US,1,Oregon,Celtics
Josh Richardson,8,SG,5-Jun,200,15-Sep-93,us US,6,Tennessee,Celtics
Matt Ryan,37,SF,6-Jun,215,17-Apr-97,us US,R,"Notre Dame, Vanderbilt, Chattanooga",Celtics
Dennis Schroder,71,PG,1-Jun,175,15-Sep-93,de DE,8,,Celtics
Marcus Smart,36,PG,3-Jun,220,6-Mar-94,us US,7,Oklahoma State,Celtics
Nik Stauskas,13,SG,6-Jun,205,7-Oct-93,ca CA,5,Michigan,Celtics
Jayson Tatum,0,SF,8-Jun,210,3-Mar-98,us US,4,Duke,Celtics
Daniel Theis,27,C,8-Jun,245,4-Apr-92,de DE,4,,Celtics
Brodric Thomas,97,SG,5-Jun,185,28-Jan-97,us US,1,Truman State University,Celtics
Derrick White,9,SG,4-Jun,190,2-Jul-94,us US,4,"Colorado-Colorado Springs, Colorado",Celtics
Grant Williams,12,PF,7-Jun,236,30-Nov-98,us US,2,Tennessee,Celtics
Robert Williams,44,C,9-Jun,249,17-Oct-97,us US,3,Texas A&M,Celtics
Davis Bertans,44,PF,10-Jun,225,12-Nov-92,lv LV,5,,Mavericks
Charlie Brown Jr.,44,SG,6-Jun,199,2-Feb-97,us US,2,Saint Joseph's,Mavericks
Moses Brown,9,C,2-Jul,258,13-Oct-99,us US,2,UCLA,Mavericks
Sterling Brown,0,SG,5-Jun,219,10-Feb-95,us US,4,SMU,Mavericks
Jalen Brunson,13,SG,2-Jun,190,31-Aug-96,us US,3,Villanova,Mavericks
Reggie Bullock,25,SF,6-Jun,205,16-Mar-91,us US,8,UNC,Mavericks
Trey Burke,3,PG,Jun-00,185,12-Nov-92,us US,8,Michigan,Mavericks
Willie Cauley-Stein,33,C,Jul-00,240,18-Aug-93,us US,6,Kentucky,Mavericks
Marquese Chriss,32,PF,9-Jun,240,2-Jul-97,us US,5,Washington,Mavericks
Spencer Dinwiddie,26,PG,5-Jun,215,6-Apr-93,us US,7,Colorado,Mavericks
